Site,Latitude,Date,Year,Month,Day,Month_Day,Dateordinal,DayofYear,Total_Count_Site,Simpsons,Shannon,Richness,std_Simpsons,std_Shannon,std_Richness
120 Reef,33.737919,2006-10-01,2006,Oct,1,Oct-01,732585,274,805,0.7044405302679151,1.4611205536689726,11,0.566937935701679,0.344280525155456,-0.10707468892842342
120 Reef,33.737919,2007-08-19,2007,Aug,19,Aug-19,732907,231,969,0.7981176811742531,1.890908033714154,15,1.1744099079712873,1.5126142549154675,1.4009927702142506
120 Reef,33.737919,2008-08-23,2008,Aug,23,Aug-23,733277,236,730,0.7344946163819832,1.601856500009512,13,0.7618308715973029,0.7268569396244439,0.6469590406429135
120 Reef,33.737919,2009-06-07,2009,Jun,7,Jun-07,733565,158,622,0.8346925144073194,1.9855607832560227,16,1.411588193866611,1.7699181668225024,1.778009634999919
120 Reef,33.737919,2010-08-01,2010,Aug,1,Aug-01,733985,213,768,0.7406901890482399,1.6878403697791258,14,0.8020075498000128,0.9605953799730818,1.023975905428582
120 Reef,33.737919,2011-09-17,2011,Sep,17,Sep-17,734397,260,888,0.8046507612460262,1.8431055729061259,14,1.2167752339637838,1.3826681072946037,1.023975905428582
120 Reef,33.737919,2012-06-09,2012,Jun,9,Jun-09,734663,161,1184,0.8055133535902766,1.8572570946534108,15,1.2223689210855282,1.4211375857052992,1.4009927702142506
120 Reef,33.737919,2013-06-15,2013,Jun,15,Jun-15,735034,166,908,0.7742837159828839,1.7954542093404005,13,1.0198528393400867,1.2531327022217484,0.6469590406429135
120 Reef,33.737919,2014-06-14,2014,Jun,14,Jun-14,735398,165,868,0.7441731910980711,1.5287492281946782,10,0.8245939126874317,0.528122226498262,-0.4840915537140919
120 Reef,33.737919,2015-08-21,2015,Aug,21,Aug-21,735831,233,441,0.6548855905998763,1.3892375759313258,11,0.24558703375181776,0.14887393146489036,-0.10707468892842342
120 Reef,33.737919,2016-08-20,2016,Aug,20,Aug-20,736196,233,212,0.7753733345256193,1.776398661342692,11,1.0269187323435878,1.201332125195998,-0.10707468892842342
120 Reef,33.737919,2017-07-18,2017,Jul,18,Jul-18,736528,199,571,0.8210833563769319,1.8541294712380703,11,1.3233363417376522,1.4126354582590892,-0.10707468892842342
120 Reef,33.737919,2018-07-10,2018,Jul,10,Jul-10,736885,191,670,0.7217856903821699,1.6678233451054894,16,0.6794167901714686,0.9061811259953035,1.778009634999919
120 Reef,33.737919,2019-06-13,2019,Jun,13,Jun-13,737223,164,873,0.7910426978572254,1.8355836108625119,13,1.128530480300963,1.3622204154060338,0.6469590406429135
120 Reef,33.737919,2020-09-20,2020,Sep,20,Sep-20,737688,264,754,0.5035736805210633,1.1635060421000325,13,-0.7356313696063396,-0.4647543780843748,0.6469590406429135
120 Reef,33.737919,2021-10-31,2021,Oct,31,Oct-31,738094,304,775,0.7248412103025756,1.633655936067874,16,0.6992310425734637,0.8133004854681373,1.778009634999919
120 Reef,33.737919,2022-07-28,2022,Jul,28,Jul-28,738364,209,824,0.7512357111679977,1.673497550079927,13,0.8703925194401241,0.9216058774573763,0.6469590406429135
120 Reef,33.737919,2024-07-19,2024,Jul,19,Jul-19,739086,201,659,0.7205492341255748,1.582731898090391,13,0.6713986927640241,0.6748686465080574,0.6469590406429135
Abalone Cove,33.736149,2007-09-29,2007,Sep,29,Sep-29,732948,272,1078,0.7818874321062941,1.7307917948361637,12,1.0691609618158064,1.0773544782839992,0.26994217585724506
Abalone Cove,33.736149,2008-08-09,2008,Aug,9,Aug-09,733263,222,995,0.7939920932630962,1.8004651252631267,11,1.1476565428132466,1.2667543695837133,-0.10707468892842342
Abalone Cove,33.736149,2009-06-07,2009,Jun,7,Jun-07,733565,158,847,0.7935000739642906,1.8858941905368634,15,1.1444659255608178,1.498984630108482,1.4009927702142506
Abalone Cove,33.736149,2010-07-10,2010,Jul,10,Jul-10,733963,191,225,0.7834126984126984,1.7672255946788427,11,1.0790519173201456,1.1763960726437326,-0.10707468892842342
Abalone Cove,33.736149,2012-06-09,2012,Jun,9,Jun-09,734663,161,1053,0.8217730258287926,1.8989587989802243,14,1.3278086688535233,1.5344994447998765,1.023975905428582
Abalone Cove,33.736149,2013-06-15,2013,Jun,15,Jun-15,735034,166,1158,0.8037924893603999,1.8388446021874898,13,1.2112095638931148,1.3710850900052705,0.6469590406429135
Abalone Cove,33.736149,2014-06-14,2014,Jun,14,Jun-14,735398,165,995,0.7528244845960184,1.5325167536505357,11,0.8806953021194803,0.5383638628236038,-0.10707468892842342
Abalone Cove,33.736149,2015-08-21,2015,Aug,21,Aug-21,735831,233,341,0.7665689149560118,1.678734059762763,11,0.9698243601419161,0.9358407986049839,-0.10707468892842342
Abalone Cove,33.736149,2016-10-12,2016,Oct,12,Oct-12,736249,286,524,0.7600309430327091,1.6930544692672673,14,0.9274273117638866,0.9747693812764231,1.023975905428582
Abalone Cove,33.736149,2017-07-18,2017,Jul,18,Jul-18,736528,199,459,0.8236816317987651,2.004462555853095,15,1.340185482427027,1.8213007209980947,1.4009927702142506
Abalone Cove,33.736149,2018-11-02,2018,Nov,2,Nov-02,737000,306,1092,0.8341844528828947,2.0496231644557956,16,1.4082935469512157,1.9440652610016305,1.778009634999919
Abalone Cove,33.736149,2020-09-20,2020,Sep,20,Sep-20,737688,264,1068,0.8177851724706815,1.922980487758272,15,1.301948476467913,1.5997999724984502,1.4009927702142506
Albion Cove,39.22778,2018-05-08,2018,May,8,May-08,736822,128,998,0.4705619865608851,0.9694225112688475,11,-0.9497036235543767,-0.9923507972196021,-0.10707468892842342
Albion Cove,39.22778,2019-05-04,2019,May,4,May-04,737183,124,1275,0.34057315233785823,0.7632412802367372,9,-1.792647422917373,-1.552833588930828,-0.8611084184997604
Albion Cove,39.22778,2020-10-24,2020,Oct,24,Oct-24,737722,298,869,0.6731106786231327,1.3338613511038329,9,0.36377199197438603,-0.0016607264686828176,-0.8611084184997604
Andrew Molera,36.278454,2015-06-23,2015,Jun,23,Jun-23,735772,174,448,0.5731563598593801,1.1005297128480944,8,-0.2844057821019364,-0.6359491500534804,-1.2381252832854288
Andrew Molera,36.278454,2017-06-27,2017,Jun,27,Jun-27,736507,178,462,0.6799917363908687,1.3481603014030703,10,0.4083938628684647,0.03720952152691936,-0.4840915537140919
Andrew Molera,36.278454,2018-06-19,2018,Jun,19,Jun-19,736864,170,563,0.6627813631852746,1.3461948280718263,12,0.2967890664635075,0.0318665813659014,0.26994217585724506
Andrew Molera,36.278454,2019-06-18,2019,Jun,18,Jun-18,737228,169,1210,0.38370759250524644,0.8404598372556291,12,-1.512931791221577,-1.342922763424501,0.26994217585724506
Andrew Molera,36.278454,2021-08-24,2021,Aug,24,Aug-24,738026,236,1174,0.6336829080198852,1.3240504698963949,15,0.10809314885397782,-0.028330613251130437,1.4009927702142506
Andrew Molera,36.278454,2022-06-22,2022,Jun,22,Jun-22,738328,173,1064,0.5293165887437314,1.1164268677592344,11,-0.568695301646552,-0.5927343447084007,-0.10707468892842342
Andrew Molera,36.278454,2023-07-01,2023,Jul,1,Jul-01,738702,182,1575,0.56532139327565,1.216090572708524,12,-0.3352135036993164,-0.32180865810425824,0.26994217585724506
Andrew Molera,36.278454,2024-07-15,2024,Jul,15,Jul-15,739082,197,1268,0.5759923712587671,1.2036089338980622,11,-0.26601498539754836,-0.35573872889973873,-0.10707468892842342
Aquarium,36.619232,2007-05-19,2007,May,19,May-19,732815,139,275,0.4616589250165892,1.1577396734542094,13,-1.0074376633199393,-0.4804296671515145,0.6469590406429135
Aquarium,36.619232,2007-07-28,2007,Jul,28,Jul-28,732885,209,336,0.3604299928926794,0.9881293801515625,15,-1.6638809737013749,-0.9414980690489808,1.4009927702142506
Aquarium,36.619232,2007-10-02,2007,Oct,2,Oct-02,732951,275,267,0.4867505843259835,0.9721107797690306,8,-0.8447247752706983,-0.9850430116063843,-1.2381252832854288
Aquarium,36.619232,2008-05-17,2008,May,17,May-17,733179,138,381,0.3879817654372151,0.9866706697109595,15,-1.4852148908282208,-0.9454634256236544,1.4009927702142506
Aquarium,36.619232,2008-10-04,2008,Oct,4,Oct-04,733319,278,376,0.3491205673758865,0.9005371520958472,13,-1.7372196582947126,-1.1796086684819034,0.6469590406429135
Aquarium,36.619232,2009-05-24,2009,May,24,May-24,733551,144,416,0.21620713623725674,0.6071331142677008,12,-2.599128708406968,-1.9771978253516422,0.26994217585724506
Aquarium,36.619232,2009-10-17,2009,Oct,17,Oct-17,733697,290,317,0.38791279000119794,1.0390282204618881,15,-1.4856621786006403,-0.8031347273947042,1.4009927702142506
Aquarium,36.619232,2010-07-10,2010,Jul,10,Jul-10,733963,191,276,0.36859025032938075,0.9381415314747172,13,-1.6109638254817729,-1.077384972225309,0.6469590406429135
Aquarium,36.619232,2010-10-23,2010,Oct,23,Oct-23,734068,296,369,0.44930481913514786,1.0815722216894355,12,-1.0875508285135553,-0.6874831694948101,0.26994217585724506
Aquarium,36.619232,2011-05-14,2011,May,14,May-14,734271,134,344,0.3667536782154722,0.9250530967547863,14,-1.6228735182238896,-1.1129645562361086,1.023975905428582
Aquarium,36.619232,2012-05-05,2012,May,5,May-05,734628,126,442,0.5195719313366371,1.2174880473285534,16,-0.631886871809674,-0.3180097649050142,1.778009634999919
Aquarium,36.619232,2013-06-22,2013,Jun,22,Jun-22,735041,173,475,0.621301354652454,1.4743573521637259,16,0.02780199384868597,0.38026342105980154,1.778009634999919
Aquarium,36.619232,2014-05-10,2014,May,10,May-10,735363,130,302,0.3775714505731447,0.9405857487700028,11,-1.5527230765623006,-1.0707406150917678,-0.10707468892842342
Aquarium,36.619232,2015-05-30,2015,May,30,May-30,735748,150,470,0.6045365875788232,1.2103713772567053,12,-0.0809131626257197,-0.337355711621842,0.26994217585724506
Aquarium,36.619232,2016-05-14,2016,May,14,May-14,736098,135,375,0.43348306595365416,0.9823987953754267,11,-1.1901507850337385,-0.9570760832910541,-0.10707468892842342
