Site,Latitude,Date,Year,Total_Count_Site,Simpsons,Shannon,Richness,std_Simpsons,std_Shannon,std_Richness
120 Reef,33.737919,2006-10-01,2006,63.0,0.0,0.0,1,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
120 Reef,33.737919,2007-08-19,2007,260.0,0.030501930501930508,0.0881383131202495,3,-0.9039305548024762,-0.8401173823664011,0.17486920926930993
120 Reef,33.737919,2008-08-23,2008,713.0,0.0,0.0,1,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
120 Reef,33.737919,2009-06-07,2009,1070.0,0.020410375667712866,0.06330976372573462,3,-0.9441214818648075,-0.8968670581352424,0.17486920926930993
120 Reef,33.737919,2010-08-01,2010,651.0,0.36464138012525105,0.6390330669310083,4,0.42682317631962363,0.41904190901059846,0.7716808976787615
120 Reef,33.737919,2011-09-17,2011,1040.0,0.3035407566447027,0.5856698150999954,4,0.18348201213716056,0.29707154371611905,0.7716808976787615
120 Reef,33.737919,2012-06-09,2012,681.0,0.26165673317785265,0.4381956893043786,3,0.016673451921509135,-0.04000448477886284,0.17486920926930993
120 Reef,33.737919,2013-06-15,2013,1140.0,0.34604531521956783,0.535068954229352,3,0.35276193396908995,0.18141507090310605,0.17486920926930993
120 Reef,33.737919,2014-06-14,2014,1165.0,0.12398861407312356,0.2569144521141372,3,-0.5316077024339737,-0.45435214843227595,0.17486920926930993
120 Reef,33.737919,2015-08-21,2015,841.0,0.20763263688352873,0.4217778435344397,3,-0.19848452417265383,-0.077530133557712,0.17486920926930993
120 Reef,33.737919,2016-08-20,2016,699.0,0.005714262290377969,0.019613938712773026,2,-1.0026506610201829,-0.9967409517943466,-0.4219424791401416
120 Reef,33.737919,2017-07-18,2017,450.0,0.10143033902499377,0.21745307503742714,3,-0.6214489609917963,-0.5445475246869199,0.17486920926930993
120 Reef,33.737919,2018-07-10,2018,876.0,0.0,0.0,1,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
120 Reef,33.737919,2019-06-13,2019,150.0,0.013333333333333308,0.040048630190433046,2,-0.9723067215975043,-0.9500341507901082,-0.4219424791401416
120 Reef,33.737919,2020-09-20,2020,852.0,0.020950221501354394,0.06225944005818563,3,-0.9419714757575998,-0.8992677431949548,0.17486920926930993
120 Reef,33.737919,2021-10-31,2021,211.0,0.10936583164071312,0.2651328760371234,4,-0.5898448315824583,-0.4355676078798026,0.7716808976787615
120 Reef,33.737919,2022-07-28,2022,143.0,0.0,0.0,1,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
120 Reef,33.737919,2024-07-19,2024,259.0,0.15019005716680134,0.29692433272312535,3,-0.4272570542330449,-0.36290307841082176,0.17486920926930993
Abalone Cove,33.736149,2007-09-29,2007,34.0,0.0,0.0,1,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Abalone Cove,33.736149,2008-08-09,2008,2.0,1.0,0.6931471805599453,2,2.957221352745841,0.542728490701869,-0.4219424791401416
Abalone Cove,33.736149,2009-06-07,2009,477.0,0.2949104169969875,0.5107428582640725,3,0.1491105642282261,0.12581383392321602,0.17486920926930993
Abalone Cove,33.736149,2010-07-10,2010,1003.0,0.47965882790749503,0.7843599446649075,3,0.8848950919611582,0.7512100538688238,0.17486920926930993
Abalone Cove,33.736149,2012-06-09,2012,780.0,0.1218788058325927,0.2834806301105929,4,-0.5400102876157105,-0.39363084072473636,0.7716808976787615
Abalone Cove,33.736149,2013-06-15,2013,341.0,0.05154390201828529,0.12197094978703532,2,-0.8201281718838453,-0.7627874050593391,-0.4219424791401416
Abalone Cove,33.736149,2014-06-14,2014,684.0,0.09593468786656734,0.24245030693396674,4,-0.6433361050936552,-0.4874122977066215,0.7716808976787615
Abalone Cove,33.736149,2015-08-21,2015,254.0,0.0,0.0,1,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Abalone Cove,33.736149,2016-10-12,2016,1162.0,0.0017211703958691649,0.006934137281691323,2,-1.0185536678136677,-1.0257226940859903,-0.4219424791401416
Abalone Cove,33.736149,2017-07-18,2017,479.0,0.012491155737633264,0.042002908527249604,3,-0.975660803191308,-0.9455673307510402,0.17486920926930993
Abalone Cove,33.736149,2018-11-02,2018,368.0,0.0587015756426964,0.16787079747136618,5,-0.7916218075722471,-0.6578758601867083,1.368492586088213
Abalone Cove,33.736149,2020-09-20,2020,915.0,0.1456469490978226,0.289183812511828,3,-0.44535057183624865,-0.38059529253470975,0.17486920926930993
Albion Cove,39.22778,2018-05-08,2018,300.0,0.2651282051282051,0.43410088156141646,2,0.030499039578474132,-0.04936383187789948,-0.4219424791401416
Albion Cove,39.22778,2019-05-04,2019,243.0,0.4763459510934258,0.6673095539609033,2,0.8717011300208952,0.4836724053529621,-0.4219424791401416
Albion Cove,39.22778,2020-10-24,2020,169.0,0.13271344040574806,0.2562332046441364,2,-0.49685994903753644,-0.45590924999413485,-0.4219424791401416
Andrew Molera,36.278454,2015-06-23,2015,1295.0,0.5052377172933586,0.8854201497643663,4,0.9867663392100846,0.9821995402620115,0.7716808976787615
Andrew Molera,36.278454,2017-06-27,2017,2368.0,0.21210813950832963,0.41265412389080974,3,-0.18066025402641822,-0.09838387427992243,0.17486920926930993
Andrew Molera,36.278454,2018-06-19,2018,1936.0,0.31037168727443565,0.5936151722691189,4,0.21068708005955328,0.31523194592290316,0.7716808976787615
Andrew Molera,36.278454,2019-06-18,2019,877.0,0.6959487251578909,1.2732030846603766,4,1.746297683287781,1.8685403197559576,0.7716808976787615
Andrew Molera,36.278454,2021-08-24,2021,1916.0,0.3789765449124318,0.6833915922342089,4,0.48391483086175036,0.5204305116446575,0.7716808976787615
Andrew Molera,36.278454,2022-06-22,2022,1117.0,0.755622619471639,1.4421891607353516,5,1.983956713366772,2.254785398931714,1.368492586088213
