Site,Latitude,Date,Year,Month,Day,Month_Day,Dateordinal,DayofYear,Total_Count_Site_Invert,Simpsons_Invert,Shannon_Invert,Richness_Invert,std_Simpsons_Invert,std_Shannon_Invert,std_Richness_Invert,Total_Count_Site_Kelp,Simpsons_Kelp,Shannon_Kelp,Richness_Kelp,std_Simpsons_Kelp,std_Shannon_Kelp,std_Richness_Kelp
120 Reef,33.737919,2006-10-01,2006,Oct,1,Oct-01,732585,274,805,0.7044405302679151,1.4611205536689726,11,0.566937935701679,0.344280525155456,-0.1070746889284234,63.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
120 Reef,33.737919,2007-08-19,2007,Aug,19,Aug-19,732907,231,969,0.7981176811742531,1.890908033714154,15,1.1744099079712873,1.5126142549154675,1.4009927702142506,260.0,0.030501930501930508,0.0881383131202495,3.0,-0.9039305548024762,-0.8401173823664011,0.17486920926930993
120 Reef,33.737919,2008-08-23,2008,Aug,23,Aug-23,733277,236,730,0.7344946163819832,1.601856500009512,13,0.7618308715973029,0.7268569396244439,0.6469590406429135,713.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
120 Reef,33.737919,2009-06-07,2009,Jun,7,Jun-07,733565,158,622,0.8346925144073194,1.9855607832560227,16,1.411588193866611,1.7699181668225024,1.778009634999919,1070.0,0.020410375667712866,0.06330976372573462,3.0,-0.9441214818648075,-0.8968670581352424,0.17486920926930993
120 Reef,33.737919,2010-08-01,2010,Aug,1,Aug-01,733985,213,768,0.7406901890482399,1.6878403697791258,14,0.8020075498000128,0.9605953799730818,1.023975905428582,651.0,0.36464138012525105,0.6390330669310083,4.0,0.42682317631962363,0.41904190901059846,0.7716808976787615
120 Reef,33.737919,2011-09-17,2011,Sep,17,Sep-17,734397,260,888,0.8046507612460262,1.8431055729061256,14,1.2167752339637838,1.3826681072946037,1.023975905428582,1040.0,0.3035407566447027,0.5856698150999954,4.0,0.18348201213716056,0.29707154371611905,0.7716808976787615
120 Reef,33.737919,2012-06-09,2012,Jun,9,Jun-09,734663,161,1184,0.8055133535902766,1.8572570946534108,15,1.2223689210855282,1.4211375857052992,1.4009927702142506,681.0,0.26165673317785265,0.4381956893043786,3.0,0.016673451921509135,-0.04000448477886284,0.17486920926930993
120 Reef,33.737919,2013-06-15,2013,Jun,15,Jun-15,735034,166,908,0.7742837159828839,1.7954542093404005,13,1.0198528393400867,1.2531327022217484,0.6469590406429135,1140.0,0.34604531521956783,0.535068954229352,3.0,0.35276193396908995,0.18141507090310605,0.17486920926930993
120 Reef,33.737919,2014-06-14,2014,Jun,14,Jun-14,735398,165,868,0.7441731910980711,1.5287492281946782,10,0.8245939126874317,0.528122226498262,-0.4840915537140919,1165.0,0.12398861407312356,0.2569144521141372,3.0,-0.5316077024339737,-0.45435214843227595,0.17486920926930993
120 Reef,33.737919,2015-08-21,2015,Aug,21,Aug-21,735831,233,441,0.6548855905998763,1.3892375759313258,11,0.2455870337518177,0.1488739314648903,-0.1070746889284234,841.0,0.20763263688352873,0.4217778435344397,3.0,-0.19848452417265383,-0.077530133557712,0.17486920926930993
120 Reef,33.737919,2016-08-20,2016,Aug,20,Aug-20,736196,233,212,0.7753733345256193,1.776398661342692,11,1.0269187323435878,1.201332125195998,-0.1070746889284234,699.0,0.005714262290377969,0.019613938712773026,2.0,-1.0026506610201829,-0.9967409517943466,-0.4219424791401416
120 Reef,33.737919,2017-07-18,2017,Jul,18,Jul-18,736528,199,571,0.8210833563769319,1.8541294712380705,11,1.3233363417376522,1.4126354582590892,-0.1070746889284234,450.0,0.10143033902499377,0.21745307503742714,3.0,-0.6214489609917963,-0.5445475246869199,0.17486920926930993
120 Reef,33.737919,2018-07-10,2018,Jul,10,Jul-10,736885,191,670,0.7217856903821699,1.6678233451054894,16,0.6794167901714686,0.9061811259953036,1.778009634999919,876.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
120 Reef,33.737919,2019-06-13,2019,Jun,13,Jun-13,737223,164,873,0.7910426978572254,1.835583610862512,13,1.128530480300963,1.3622204154060338,0.6469590406429135,150.0,0.013333333333333308,0.040048630190433046,2.0,-0.9723067215975043,-0.9500341507901082,-0.4219424791401416
120 Reef,33.737919,2020-09-20,2020,Sep,20,Sep-20,737688,264,754,0.5035736805210633,1.1635060421000325,13,-0.7356313696063396,-0.4647543780843748,0.6469590406429135,852.0,0.020950221501354394,0.06225944005818563,3.0,-0.9419714757575998,-0.8992677431949548,0.17486920926930993
120 Reef,33.737919,2021-10-31,2021,Oct,31,Oct-31,738094,304,775,0.7248412103025756,1.633655936067874,16,0.6992310425734637,0.8133004854681373,1.778009634999919,211.0,0.10936583164071312,0.2651328760371234,4.0,-0.5898448315824583,-0.4355676078798026,0.7716808976787615
120 Reef,33.737919,2022-07-28,2022,Jul,28,Jul-28,738364,209,824,0.7512357111679977,1.673497550079927,13,0.8703925194401241,0.9216058774573764,0.6469590406429135,143.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
120 Reef,33.737919,2024-07-19,2024,Jul,19,Jul-19,739086,201,659,0.7205492341255748,1.582731898090391,13,0.6713986927640241,0.6748686465080574,0.6469590406429135,259.0,0.15019005716680134,0.29692433272312535,3.0,-0.4272570542330449,-0.36290307841082176,0.17486920926930993
Abalone Cove,33.736149,2007-09-29,2007,Sep,29,Sep-29,732948,272,1078,0.7818874321062941,1.7307917948361635,12,1.0691609618158064,1.0773544782839992,0.269942175857245,34.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Abalone Cove,33.736149,2008-08-09,2008,Aug,9,Aug-09,733263,222,995,0.7939920932630962,1.8004651252631267,11,1.1476565428132466,1.2667543695837131,-0.1070746889284234,2.0,1.0,0.6931471805599453,2.0,2.957221352745841,0.542728490701869,-0.4219424791401416
Abalone Cove,33.736149,2009-06-07,2009,Jun,7,Jun-07,733565,158,847,0.7935000739642906,1.8858941905368636,15,1.1444659255608178,1.498984630108482,1.4009927702142506,477.0,0.2949104169969875,0.5107428582640725,3.0,0.1491105642282261,0.12581383392321602,0.17486920926930993
Abalone Cove,33.736149,2010-07-10,2010,Jul,10,Jul-10,733963,191,225,0.7834126984126984,1.7672255946788429,11,1.0790519173201456,1.1763960726437326,-0.1070746889284234,1003.0,0.47965882790749503,0.7843599446649075,3.0,0.8848950919611582,0.7512100538688238,0.17486920926930993
Abalone Cove,33.736149,2012-06-09,2012,Jun,9,Jun-09,734663,161,1053,0.8217730258287926,1.8989587989802243,14,1.327808668853523,1.5344994447998763,1.023975905428582,780.0,0.1218788058325927,0.2834806301105929,4.0,-0.5400102876157105,-0.39363084072473636,0.7716808976787615
