Site,Latitude,Date,Year,Classcode,Amount,Stipes,Total,Distance,Area_m2,Species_Density,Dateordinal,Total_Count_Site,n_n1,pi_lnpi,species_presence
120 Reef,33.737919,2006-10-01,2006,Giant Kelp,9,63.0,63.0,360.0,720.0,0.0875,732585,63.0,3906.0,0.0,True
120 Reef,33.737919,2006-10-01,2006,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,732585,63.0,-0.0,,False
120 Reef,33.737919,2006-10-01,2006,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,732585,63.0,-0.0,,False
120 Reef,33.737919,2006-10-01,2006,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,732585,63.0,-0.0,,False
120 Reef,33.737919,2007-08-19,2007,Giant Kelp,34,256.0,256.0,690.0,1380.0,0.1855072463768116,732907,260.0,65280.0,-0.015265660589258044,True
120 Reef,33.737919,2007-08-19,2007,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,732907,260.0,-0.0,,False
120 Reef,33.737919,2007-08-19,2007,Southern Sea Palm >30,1,0.0,1.0,180.0,360.0,0.002777777777777778,732907,260.0,0.0,-0.021387237042367415,True
120 Reef,33.737919,2007-08-19,2007,Woody Kelp,3,0.0,3.0,180.0,360.0,0.008333333333333333,732907,260.0,6.0,-0.05148541548862405,True
120 Reef,33.737919,2008-08-23,2008,Giant Kelp,326,713.0,713.0,1094.0,2188.0,0.32586837294332727,733277,713.0,507656.0,0.0,True
120 Reef,33.737919,2008-08-23,2008,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,733277,713.0,-0.0,,False
120 Reef,33.737919,2008-08-23,2008,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,733277,713.0,-0.0,,False
120 Reef,33.737919,2008-08-23,2008,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,733277,713.0,-0.0,,False
120 Reef,33.737919,2009-06-07,2009,Giant Kelp,194,1059.0,1059.0,2640.0,5280.0,0.2005681818181818,733565,1070.0,1120422.0,-0.01022734877005943,True
120 Reef,33.737919,2009-06-07,2009,Laminaria Spp,8,0.0,8.0,180.0,360.0,0.022222222222222223,733565,1070.0,56.0,-0.03660540101514853,True
120 Reef,33.737919,2009-06-07,2009,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,733565,1070.0,-0.0,,False
120 Reef,33.737919,2009-06-07,2009,Woody Kelp,3,0.0,3.0,180.0,360.0,0.008333333333333333,733565,1070.0,6.0,-0.01647701394052666,True
120 Reef,33.737919,2010-08-01,2010,Giant Kelp,257,503.0,503.0,1186.0,2372.0,0.21205733558178752,733985,651.0,252506.0,-0.19928340164476424,True
120 Reef,33.737919,2010-08-01,2010,Laminaria Spp,127,0.0,127.0,140.0,280.0,0.45357142857142857,733985,651.0,16002.0,-0.3188309747776455,True
120 Reef,33.737919,2010-08-01,2010,Southern Sea Palm >30,2,0.0,2.0,180.0,360.0,0.005555555555555556,733985,651.0,2.0,-0.0177737710035288,True
120 Reef,33.737919,2010-08-01,2010,Woody Kelp,19,0.0,19.0,180.0,360.0,0.05277777777777778,733985,651.0,342.0,-0.10314491950506981,True
120 Reef,33.737919,2011-09-17,2011,Giant Kelp,185,857.0,857.0,2490.0,4980.0,0.1720883534136546,734397,1040.0,733592.0,-0.15948281636707334,True
120 Reef,33.737919,2011-09-17,2011,Laminaria Spp,50,0.0,50.0,179.0,358.0,0.13966480446927373,734397,1040.0,2450.0,-0.14591120128400348,True
