time_UTC,latitude_degrees_north,longitude_degrees_east,sea_surface_temperature_anomaly_degree_C
2006-01-16 00:00:00+00:00,39.525,-123.975,0.89
2006-02-16 00:00:00+00:00,39.525,-123.975,0.0
2006-03-16 00:00:00+00:00,39.525,-123.975,-0.19
2006-04-15 23:00:00+00:00,39.525,-123.975,0.45
2006-05-15 23:00:00+00:00,39.525,-123.975,-0.39
2006-06-15 23:00:00+00:00,39.525,-123.975,0.76
2006-07-15 23:00:00+00:00,39.525,-123.975,0.14
2006-08-15 23:00:00+00:00,39.525,-123.975,-0.26
2006-09-15 23:00:00+00:00,39.525,-123.975,-1.35
2006-10-15 23:00:00+00:00,39.525,-123.975,0.17
2006-11-16 00:00:00+00:00,39.525,-123.975,0.63
2006-12-16 00:00:00+00:00,39.525,-123.975,0.13
2007-01-16 00:00:00+00:00,39.525,-123.975,-0.97
2007-02-16 00:00:00+00:00,39.525,-123.975,-0.39
2007-03-15 23:00:00+00:00,39.525,-123.975,-0.68
2007-04-15 23:00:00+00:00,39.525,-123.975,-1.02
2007-05-15 23:00:00+00:00,39.525,-123.975,-1.53
2007-06-15 23:00:00+00:00,39.525,-123.975,-0.89
2007-07-15 23:00:00+00:00,39.525,-123.975,1.25
2007-08-15 23:00:00+00:00,39.525,-123.975,0.95
2007-09-15 23:00:00+00:00,39.525,-123.975,0.57
2007-10-15 23:00:00+00:00,39.525,-123.975,0.22
2007-11-16 00:00:00+00:00,39.525,-123.975,-0.07
2007-12-16 00:00:00+00:00,39.525,-123.975,-1.59
2008-01-16 00:00:00+00:00,39.525,-123.975,-1.32
2008-02-16 00:00:00+00:00,39.525,-123.975,-1.26
2008-03-15 23:00:00+00:00,39.525,-123.975,-1.53
2008-04-15 23:00:00+00:00,39.525,-123.975,-1.82
2008-05-15 23:00:00+00:00,39.525,-123.975,-1.41
2008-06-15 23:00:00+00:00,39.525,-123.975,-1.91
2008-07-15 23:00:00+00:00,39.525,-123.975,-0.48
2008-08-15 23:00:00+00:00,39.525,-123.975,-0.35
2008-09-15 23:00:00+00:00,39.525,-123.975,-0.45
2008-10-15 23:00:00+00:00,39.525,-123.975,-0.79
2008-11-16 00:00:00+00:00,39.525,-123.975,0.04
2008-12-16 00:00:00+00:00,39.525,-123.975,-0.35
2009-01-16 00:00:00+00:00,39.525,-123.975,-0.87
2009-02-16 00:00:00+00:00,39.525,-123.975,-1.04
2009-03-15 23:00:00+00:00,39.525,-123.975,-1.0
2009-04-15 23:00:00+00:00,39.525,-123.975,-2.02
2009-05-15 23:00:00+00:00,39.525,-123.975,-1.16
2009-06-15 23:00:00+00:00,39.525,-123.975,0.28
2009-07-15 23:00:00+00:00,39.525,-123.975,-0.65
2009-08-15 23:00:00+00:00,39.525,-123.975,-0.39
2009-09-15 23:00:00+00:00,39.525,-123.975,0.09
2009-10-15 23:00:00+00:00,39.525,-123.975,-0.62
2009-11-16 00:00:00+00:00,39.525,-123.975,-0.56
2009-12-16 00:00:00+00:00,39.525,-123.975,-0.72
2010-01-16 00:00:00+00:00,39.525,-123.975,0.39
2010-02-16 00:00:00+00:00,39.525,-123.975,0.38
2010-03-15 23:00:00+00:00,39.525,-123.975,0.19
2010-04-15 23:00:00+00:00,39.525,-123.975,-0.17
2010-05-15 23:00:00+00:00,39.525,-123.975,-0.85
2010-06-15 23:00:00+00:00,39.525,-123.975,-0.72
2010-07-15 23:00:00+00:00,39.525,-123.975,-1.22
2010-08-15 23:00:00+00:00,39.525,-123.975,-1.23
2010-09-15 23:00:00+00:00,39.525,-123.975,-0.68
2010-10-15 23:00:00+00:00,39.525,-123.975,-0.69
2010-11-16 00:00:00+00:00,39.525,-123.975,-0.29
2010-12-16 00:00:00+00:00,39.525,-123.975,-0.08
2011-01-16 00:00:00+00:00,39.525,-123.975,-0.66
2011-02-16 00:00:00+00:00,39.525,-123.975,-1.27
2011-03-15 23:00:00+00:00,39.525,-123.975,-0.53
2011-04-15 23:00:00+00:00,39.525,-123.975,-1.29
2011-05-15 23:00:00+00:00,39.525,-123.975,-1.0
2011-06-15 23:00:00+00:00,39.525,-123.975,-0.71
2011-07-15 23:00:00+00:00,39.525,-123.975,-0.48
2011-08-15 23:00:00+00:00,39.525,-123.975,-0.57
2011-09-15 23:00:00+00:00,39.525,-123.975,-0.82
2011-10-15 23:00:00+00:00,39.525,-123.975,0.29
2011-11-16 00:00:00+00:00,39.525,-123.975,-0.44
2011-12-16 00:00:00+00:00,39.525,-123.975,-1.17
2012-01-16 00:00:00+00:00,39.525,-123.975,-0.76
2012-02-16 00:00:00+00:00,39.525,-123.975,-1.19
2012-03-15 23:00:00+00:00,39.525,-123.975,-1.7
2012-04-15 23:00:00+00:00,39.525,-123.975,-0.24
2012-05-15 23:00:00+00:00,39.525,-123.975,-1.4
2012-06-15 23:00:00+00:00,39.525,-123.975,-1.1
2012-07-15 23:00:00+00:00,39.525,-123.975,-0.47
2012-08-15 23:00:00+00:00,39.525,-123.975,-0.89
