time_UTC,latitude_degrees_north,longitude_degrees_east,sea_surface_temperature_degree_C
2006-01-16 00:00:00+00:00,39.525,-123.975,12.33
2006-02-16 00:00:00+00:00,39.525,-123.975,11.32
2006-03-16 00:00:00+00:00,39.525,-123.975,11.0
2006-04-15 23:00:00+00:00,39.525,-123.975,11.45
2006-05-15 23:00:00+00:00,39.525,-123.975,10.73
2006-06-15 23:00:00+00:00,39.525,-123.975,12.16
2006-07-15 23:00:00+00:00,39.525,-123.975,12.07
2006-08-15 23:00:00+00:00,39.525,-123.975,12.44
2006-09-15 23:00:00+00:00,39.525,-123.975,11.84
2006-10-15 23:00:00+00:00,39.525,-123.975,12.92
2006-11-16 00:00:00+00:00,39.525,-123.975,12.81
2006-12-16 00:00:00+00:00,39.525,-123.975,11.89
2007-01-16 00:00:00+00:00,39.525,-123.975,10.47
2007-02-16 00:00:00+00:00,39.525,-123.975,10.93
2007-03-15 23:00:00+00:00,39.525,-123.975,10.51
2007-04-15 23:00:00+00:00,39.525,-123.975,9.98
2007-05-15 23:00:00+00:00,39.525,-123.975,9.59
2007-06-15 23:00:00+00:00,39.525,-123.975,10.5
2007-07-15 23:00:00+00:00,39.525,-123.975,13.17
2007-08-15 23:00:00+00:00,39.525,-123.975,13.65
2007-09-15 23:00:00+00:00,39.525,-123.975,13.76
2007-10-15 23:00:00+00:00,39.525,-123.975,12.97
2007-11-16 00:00:00+00:00,39.525,-123.975,12.11
2007-12-16 00:00:00+00:00,39.525,-123.975,10.15
2008-01-16 00:00:00+00:00,39.525,-123.975,10.12
2008-02-16 00:00:00+00:00,39.525,-123.975,10.06
2008-03-15 23:00:00+00:00,39.525,-123.975,9.65
2008-04-15 23:00:00+00:00,39.525,-123.975,9.18
2008-05-15 23:00:00+00:00,39.525,-123.975,9.71
2008-06-15 23:00:00+00:00,39.525,-123.975,9.49
2008-07-15 23:00:00+00:00,39.525,-123.975,11.43
2008-08-15 23:00:00+00:00,39.525,-123.975,12.35
2008-09-15 23:00:00+00:00,39.525,-123.975,12.73
2008-10-15 23:00:00+00:00,39.525,-123.975,11.96
2008-11-16 00:00:00+00:00,39.525,-123.975,12.22
2008-12-16 00:00:00+00:00,39.525,-123.975,11.4
2009-01-16 00:00:00+00:00,39.525,-123.975,10.58
2009-02-16 00:00:00+00:00,39.525,-123.975,10.27
2009-03-15 23:00:00+00:00,39.525,-123.975,10.19
2009-04-15 23:00:00+00:00,39.525,-123.975,8.98
2009-05-15 23:00:00+00:00,39.525,-123.975,9.95
2009-06-15 23:00:00+00:00,39.525,-123.975,11.68
2009-07-15 23:00:00+00:00,39.525,-123.975,11.28
2009-08-15 23:00:00+00:00,39.525,-123.975,12.29
2009-09-15 23:00:00+00:00,39.525,-123.975,13.29
2009-10-15 23:00:00+00:00,39.525,-123.975,12.13
2009-11-16 00:00:00+00:00,39.525,-123.975,11.63
2009-12-16 00:00:00+00:00,39.525,-123.975,11.03
2010-01-16 00:00:00+00:00,39.525,-123.975,11.84
2010-02-16 00:00:00+00:00,39.525,-123.975,11.71
2010-03-15 23:00:00+00:00,39.525,-123.975,11.38
2010-04-15 23:00:00+00:00,39.525,-123.975,10.83
2010-05-15 23:00:00+00:00,39.525,-123.975,10.26
2010-06-15 23:00:00+00:00,39.525,-123.975,10.68
2010-07-15 23:00:00+00:00,39.525,-123.975,10.7
2010-08-15 23:00:00+00:00,39.525,-123.975,11.47
2010-09-15 23:00:00+00:00,39.525,-123.975,12.51
2010-10-15 23:00:00+00:00,39.525,-123.975,12.07
2010-11-16 00:00:00+00:00,39.525,-123.975,11.9
2010-12-16 00:00:00+00:00,39.525,-123.975,11.67
2011-01-16 00:00:00+00:00,39.525,-123.975,10.78
2011-02-16 00:00:00+00:00,39.525,-123.975,10.06
2011-03-15 23:00:00+00:00,39.525,-123.975,10.65
2011-04-15 23:00:00+00:00,39.525,-123.975,9.7
2011-05-15 23:00:00+00:00,39.525,-123.975,10.12
2011-06-15 23:00:00+00:00,39.525,-123.975,10.69
2011-07-15 23:00:00+00:00,39.525,-123.975,11.43
2011-08-15 23:00:00+00:00,39.525,-123.975,12.12
